case,frame,time_s,time_min,n,dx_mean,dx_sem,dy_mean,dy_sem,dz_mean,dz_sem,net_displacement_mean,net_displacement_sem
09_push_filaments_fixed_binders,10,10.0,0.16666666666666666,1,-0.0098,nan,-0.0031,nan,-0.0007,nan,0.010302426898551622,nan
09_push_filaments_fixed_binders,11,11.0,0.18333333333333332,1,-0.0072,nan,0.0022,nan,-0.0148,nan,0.016604818577750254,nan
09_push_filaments_fixed_binders,12,12.0,0.2,1,-0.0053,nan,-0.0044,nan,-0.0169,nan,0.018249931506720784,nan
09_push_filaments_fixed_binders,13,13.0,0.21666666666666667,1,-0.0094,nan,-0.003,nan,-0.0155,nan,0.018374166647769363,nan
09_push_filaments_fixed_binders,14,14.0,0.23333333333333334,1,-0.0063,nan,-0.0048,nan,-0.0185,nan,0.020124114887368337,nan
09_push_filaments_fixed_binders,15,15.0,0.25,1,-0.0044,nan,-0.0107,nan,-0.021,nan,0.023976029696344638,nan
09_push_filaments_fixed_binders,16,16.0,0.26666666666666666,1,-0.0077,nan,-0.0055,nan,-0.0173,nan,0.019718772781286364,nan
09_push_filaments_fixed_binders,17,17.0,0.2833333333333333,1,-0.0056,nan,-0.0054,nan,-0.0131,nan,0.015235813073151036,nan
09_push_filaments_fixed_binders,18,18.0,0.3,1,-0.0101,nan,-0.0086,nan,-0.0121,nan,0.017954943608934005,nan
09_push_filaments_fixed_binders,19,19.0,0.31666666666666665,1,-0.0093,nan,-0.0084,nan,-0.0072,nan,0.014453027364535085,nan
09_push_filaments_fixed_binders,20,20.0,0.3333333333333333,1,-0.0098,nan,-0.012,nan,-0.0099,nan,0.01838613608129778,nan
10_push_filaments_fixed_plus_motors,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
10_push_filaments_fixed_plus_motors,1,1.0,0.016666666666666666,1,0.0041,nan,0.0016,nan,0.0036,nan,0.0056859475903318,nan
10_push_filaments_fixed_plus_motors,2,2.0,0.03333333333333333,1,0.0039,nan,0.0032,nan,0.0001,nan,0.005045790324617145,nan
10_push_filaments_fixed_plus_motors,3,3.0,0.05,1,0.0067,nan,0.0061,nan,0.0003,nan,0.009065870063044143,nan
10_push_filaments_fixed_plus_motors,4,4.0,0.06666666666666667,1,0.0011,nan,0.0081,nan,0.0,nan,0.008174350127074322,nan
10_push_filaments_fixed_plus_motors,5,5.0,0.08333333333333333,1,0.0028,nan,0.0123,nan,-0.0016,nan,0.012715738279785409,nan
10_push_filaments_fixed_plus_motors,6,6.0,0.1,1,0.005,nan,0.0118,nan,0.0029,nan,0.013139634698118515,nan
