model,group,case,xlink_regime,run_dir,run_path,n_frames_used,threshold_vz_abs,mean_vz_abs,peak_vz_abs,time_to_peak_min,auc_vz_abs,active_transport_fraction,onset_time_min,net_z_displacement,abs_net_z_displacement,early_mean_vz_abs,mid_mean_vz_abs,late_mean_vz_abs
control,control,c0_m0,1:8,r0011,/home/thekaka/project/cytosim/control/2/r0011,800,0.009853449874497095,0.0038882125861370988,0.028071875932001188,12.45,3.100278250254129,0.06125,11.25,-0.05914538822303279,0.05914538822303279,0.003865847252429201,0.0033589383093012492,0.004517053957044923
control,control,c0_m0,1:8,r0012,/home/thekaka/project/cytosim/control/2/r0012,800,0.009853449874497095,0.0033569248017707902,0.01523373776655712,0.2,2.6774174402147337,0.0325,nan,-0.04659882163899276,0.04659882163899276,0.003494617858297264,0.003249753975311236,0.0033540229145218987
control,control,c0_m0,1:8,r0013,/home/thekaka/project/cytosim/control/2/r0013,800,0.009853449874497095,0.004747031880925591,0.031546371229848796,11.683333333333334,3.7934675005824685,0.1025,13.083333333333334,-0.01975051975051978,0.01975051975051978,0.004013333536504808,0.004478913474524568,0.005727067996775683
control,control,c0_m0,1:8,r0014,/home/thekaka/project/cytosim/control/2/r0014,800,0.009853449874497095,0.0037558206667687387,0.02025641025641005,12.583333333333334,2.9991445014524207,0.0425,nan,0.010128665115851032,0.010128665115851032,0.0034915548390489462,0.003899283466210884,0.003832911444517348
control,control,c0_m0,1:8,r0015,/home/thekaka/project/cytosim/control/2/r0015,800,0.009853449874497095,0.00288519090693635,0.018660922142148373,0.45,2.305783611046637,0.0175,nan,0.10636182902584462,0.10636182902584462,0.0033137394617266695,0.0026252093256892896,0.0027915946225655895
control,control,c0_m0,1:8,r0016,/home/thekaka/project/cytosim/control/2/r0016,800,0.009853449874497095,0.004296064716875162,0.023011055788405232,5.366666666666666,3.43516258431094,0.0775,nan,0.2684511434511434,0.2684511434511434,0.003942918534924426,0.004276258805841331,0.004642209202685029
control,control,c0_m0,1:8,r0017,/home/thekaka/project/cytosim/control/2/r0017,800,0.009853449874497095,0.003404031789873563,0.017875920084121755,1.3833333333333333,2.7208607445630637,0.025,nan,0.043615344193379646,0.043615344193379646,0.003609092110634816,0.0032833592842969666,0.003354960276505897
control,control,c0_m0,1:8,r0018,/home/thekaka/project/cytosim/control/2/r0018,800,0.009853449874497095,0.0038143784664808737,0.04583857491186405,0.016666666666666666,3.027599233760263,0.06125,8.133333333333333,-0.08366141732283525,0.08366141732283525,0.003959390776426837,0.0037528213891404928,0.003752344677687881
control,control,c0_m0,1:8,r0019,/home/thekaka/project/cytosim/control/2/r0019,800,0.009853449874497095,0.003755098390478447,0.01967194639282399,4.833333333333333,3.0008695474983944,0.05375,2.2333333333333334,-0.10867372667675257,0.10867372667675257,0.004258512884140881,0.00380207181815935,0.003240124856801847
control,control,c0_m0,1:8,r0020,/home/thekaka/project/cytosim/control/2/r0020,800,0.009853449874497095,0.0033541967610203082,0.016386844000224693,11.716666666666667,2.680023328335398,0.02625,nan,0.12061808431376853,0.12061808431376853,0.0031620532614492192,0.00331319776857249,0.0035772695354717872
control,control,c0_m0,1:16,r0021,/home/thekaka/project/cytosim/control/2/r0021,800,0.009608760109627612,0.0033398166371850467,0.021487721017299455,3.7333333333333334,2.665799729119496,0.0375,5.833333333333333,0.10097887686759455,0.10097887686759455,0.003890936658741661,0.0031107676622070648,0.0030984258607151772
control,control,c0_m0,1:16,r0022,/home/thekaka/project/cytosim/control/2/r0022,800,0.009608760109627612,0.003764885310823529,0.019516117088239027,13.15,3.0044081231624515,0.05625,0.36666666666666664,0.3111159401527621,0.3111159401527621,0.0038873406233114896,0.0036432586279046566,0.003792552687034406
control,control,c0_m0,1:16,r0023,/home/thekaka/project/cytosim/control/2/r0023,800,0.009608760109627612,0.003941087946926171,0.020492493573862,2.1166666666666667,3.1499366470149344,0.06875,nan,-0.05867877155121709,0.05867877155121709,0.0039162224773304465,0.004064888092492576,0.0038215584586635543
control,control,c0_m0,1:16,r0024,/home/thekaka/project/cytosim/control/2/r0024,800,0.009608760109627612,0.0037601473538747925,0.0199172271081223,3.433333333333333,3.003138643126819,0.05625,9.366666666666667,0.16731252789067713,0.16731252789067713,0.0043144829558024065,0.0034990955654737826,0.0035525968851376406
control,control,c0_m0,1:16,r0025,/home/thekaka/project/cytosim/control/2/r0025,800,0.009608760109627612,0.003891019615752645,0.022455047859133326,2.1166666666666667,3.105136043671781,0.0575,2.1166666666666667,0.0938014262205159,0.0938014262205159,0.004085129077245491,0.0037948682731427665,0.003823790655929554
control,control,c0_m0,1:16,r0026,/home/thekaka/project/cytosim/control/2/r0026,800,0.009608760109627612,0.003827455516221583,0.03375589896392844,1.05,3.055205189946202,0.0625,nan,0.08197686391202763,0.08197686391202763,0.0045382387091127225,0.0037065333661882747,0.0033155760599342648
control,control,c0_m0,1:16,r0027,/home/thekaka/project/cytosim/control/2/r0027,800,0.009608760109627612,0.003230155473794797,0.017562592898520024,8.583333333333334,2.581014563485349,0.02375,nan,0.014858970123314497,0.014858970123314497,0.0031871932726739477,0.0034576729341720056,0.0030079820176826142
control,control,c0_m0,1:16,r0028,/home/thekaka/project/cytosim/control/2/r0028,800,0.009608760109627612,0.004030947830943465,0.032256521997606244,0.65,3.2212252603541103,0.06875,0.6166666666666667,0.10326377742107931,0.10326377742107931,0.0041759202594275025,0.0037533166680969302,0.0042173115797797716
